1|5|9.42|00|Amazon|1200000|NIl|
1|7|9.4|0|Amazon|1000000|Nil|
2|09|9|0|Amazon|1000000|Nil|
4|06|9.6|04|SAP|1500000|Nil|
4|06|9.3|00|Amazon|24,00,000|Nil|
5|06|9|00|Amazon|24,00,000|Nil|
05|06|8.46|01|SAP_LABS|18,00,000|SDE|
10|06|8.9|00|SAP_LABS|18,00,000|SDE|
35|06|8.75|00|SAP_LABS|18,00,000|SDE|
43|06|9.3|02|SAP_LABS|18,00,000|SDE|
43|06|9.3|02|SAP_LABS|18,00,000|SDE|
52|06|8.92|01|SAP_LABS|18,00,000|SDE|
52|06|8.77|00|SAP_LABS|18,00,000|SDE|
999|999|999|999|SAP_LABS|18,00,000|SDE|
999|999|999|999|999|999|999|999|999|
